,day,US_Israel_Coalition_Air,Iran_Air_Defense
88,44.0,2549.2051572348764,146.09258360810418
89,44.5,2551.3583847369787,142.15740648155818
90,45.0,2553.5208977912484,138.37485712630513
91,45.5,2555.6923292112397,134.74518731978026
92,46.0,2557.872311295385,131.26865212424948
93,46.5,2560.0604750383372,127.94550383048681
94,47.0,2562.2564503152466,124.77599264324522
95,47.5,2564.45986713273,121.76037613141537
96,48.0,2566.670354869108,118.89891364469773
97,48.5,2568.8875422719884,116.19186629549421
98,49.0,2571.111057458267,113.63949695890813
99,49.5,2573.3405279141284,111.24207027274427
100,50.0,2575.575580495044,108.99985263750887
101,50.5,2577.8158414101536,106.9131118408715
102,51.0,2580.0609362175946,104.98211714173708
103,51.5,2582.310489831669,103.20713929147594
104,52.0,2584.564126509073,101.58845007822234
105,52.5,2586.8214698488887,100.12632232672621
106,53.0,2589.0821427925866,98.82102989835316
107,53.5,2591.345767624025,97.67284769108446
108,54.0,2593.6119659694473,96.68205163947484
109,54.5,2595.880358788491,95.84891845123984
110,55.0,2598.1505663683192,95.1737253384154
111,55.5,2600.422208331347,94.65675017020233
112,56.0,2602.6949036308647,94.29827132424298
113,56.5,2604.968270549751,94.09856757812113
114,57.0,2607.2419229108104,94.0598723249816
115,57.5,2609.5155513860946,94.09515254838915
116,58.0,2611.789089349271,94.13285125978541
117,58.5,2614.0625376420057,94.1697268022054
118,59.0,2616.3358982112572,94.20576436781603
119,59.5,2618.609173073375,94.24096398858086
120,60.0,2620.882364244564,94.27532569571873
121,60.5,2623.1554737409715,94.30884951970563
122,61.0,2625.4285035786847,94.3415354902746
123,61.5,2627.7014557737352,94.37338363641574
124,62.0,2629.974332342094,94.4043939863763
125,62.5,2632.247135299676,94.43456656766062
126,63.0,2634.5198666623364,94.4639014070301
127,63.5,2636.792528445873,94.49239853050321
128,64.0,2639.0651226660248,94.52005796335557
129,64.5,2641.337651338474,94.54687973011987
130,65.0,2643.6101164788433,94.57286385458588
131,65.5,2645.8825201026975,94.59801035980044
132,66.0,2648.1548642255434,94.62231926806754
133,66.5,2650.42715086283,94.64579060094822
134,67.0,2652.699382029947,94.66842437926061
135,67.5,2654.9715597422273,94.69022062307995
136,68.0,2657.24368601602,94.71117935176038
137,68.5,2659.515762867816,94.73130058391783
138,69.0,2661.787792312343,94.75058433739085
139,69.5,2664.0597763643177,94.7690306292754
140,70.0,2666.331717038462,94.78663947592516
141,70.5,2668.6036163495005,94.80341089295152
142,71.0,2670.87547631216,94.8193448952236
143,71.5,2673.147298941173,94.83444149686821
144,72.0,2675.4190862512737,94.8487007112699
145,72.5,2677.6908402572003,94.86212255107091
146,73.0,2679.9625629736943,94.87470702817124
147,73.5,2682.2342564155006,94.88645415372855
148,74.0,2684.5059225973678,94.89736393815824
149,74.5,2686.777563534048,94.90743639113343
150,75.0,2689.049181240296,94.91667152158495
151,75.5,2691.320777730871,94.92506933770134
152,76.0,2693.5923550205357,94.93262984692886
153,76.5,2695.8639151240545,94.93935305597151
154,77.0,2698.135460056197,94.94523897079094
155,77.5,2700.4069918317364,94.95028759660657
156,78.0,2702.678512465447,94.95449893789554
157,78.5,2704.9500239721096,94.95787299839266
158,79.0,2707.2215283665064,94.96040978109049
159,79.5,2709.493027663424,94.96210928823929
160,80.0,2711.7645238776513,94.96297152134704
161,80.5,2714.036019023982,94.96299648117945
162,81.0,2716.3075151172125,94.9621841677599
163,81.5,2718.5790141721427,94.96053458036954
164,82.0,2720.850518203576,94.95804771754722
165,82.5,2723.1220292263192,94.95472357708945
166,83.0,2725.3935492551823,94.95056215605055
167,83.5,2727.6650803049797,94.94556345074248
168,84.0,2729.9366243905274,94.93972745673494
169,84.5,2732.2081835266467,94.93305416885535
170,85.0,2734.4797597281618,94.92554358118885
171,85.5,2736.7513550098993,94.91719568707826
172,86.0,2739.022971386691,94.90801047912416
173,86.5,2741.2946108733704,94.89798794918482
174,87.0,2743.5662754847754,94.88712808837624
175,87.5,2745.8379672357473,94.87543088707211
176,88.0,2748.1096881411304,94.86289633490387
177,88.5,2750.381440215773,94.84952442076063
178,89.0,2752.653225474526,94.83531513278926
179,89.5,2754.9250459322457,94.82026845839431
180,90.0,2757.1969036037885,94.80438438423808
